parallax,spect_type  ,vmag ,bv_color
4.17,A0IV        ,7.84,0.097
2.08,M4III       ,6.82,1.698
2.39,M1III       ,7.2,1.712
11.95,F2/F3V      ,7.83,0.412
4.42,A3m...      ,8.86,0.26
9.18,F0IV/V      ,7.54,0.331
7.74,G2V:        ,9.69,0.72
2.96,K0III+...   ,8.06,1.053
5.42,A7III       ,8.25,0.291
12.07,F0III       ,5.45,0.283
4.78,A1m...      ,8.73,0.196
4.07,B9V         ,8.52,0.033
9.99,A7IV        ,6.55,0.292
2.69,K1/K2III    ,8.73,1.139
4.28,B8IV        ,7.36,-0.02
3.36,F0IV/V      ,9.1,0.375
1.8,K5III       ,7.58,1.54
7.13,F3V         ,9.47,0.431
4.26,K3          ,9.14,1.379
15.94,G2V         ,8.69,0.608
1.93,A0III/IV    ,9.06,0.123
7.13,G2V         ,9.21,0.628
3.05,K4III:      ,8.61,1.497
5.16,B9V         ,6.63,-0.068
0.92,K1III:      ,9.06,1.275
1.73,B9.5IV      ,7.22,0.054
3.1,B9/B9.5V    ,7.94,0.051
3.99,K1/K2III/IV ,8.44,1.15
2.77,M2III       ,7.17,1.728
5.55,G8IV        ,8.25,1.04
15.54,Am          ,6.49,0.303
8.73,F6/F7V      ,9.23,0.546
        ,K5V         ,10.84,0.985
        ,K3III:      ,11.43,1.01
2.62,K2          ,9.68,1.537
0.57,M2III       ,8.24,1.726
2.69,A4IVp...    ,9.32,0.345
0.22,K0          ,9.59,1.031
7.28,G3V:        ,9.94,0.596
2.94,F5V         ,9.82,0.516
12.24,G0V+...     ,8.44,0.564
17.08,F5V         ,7.5,0.473
16.23,G3/G5IV     ,9.26,0.684
4.51,G6V         ,8.77,0.829
3.65,K1III       ,8.69,1.224
6.76,F5IV/V      ,7.64,0.45
7.98,G6III       ,7.5,0.907
11.33,G2V         ,8.73,0.627
2.44,K0III       ,8.5,1.14
13.06,K3III       ,5.29,1.304
5.32,G5III       ,6.58,0.898
40.52,G5IV-V      ,7.11,0.71
6.57,F5V         ,8.56,0.493
6.24,K2III       ,5.5,1.278
12.81,G3V         ,8.1,0.689
4.41,F8/G0V      ,8.85,0.585
0.45,K1/K2III:   ,9.17,1.434
5.39,K2/K3III    ,7.66,1.33
1.69,K4/K5III    ,7.93,1.614
5.6,A3m...      ,9.23,0.456
12.49,F6V         ,8.28,0.502
3.49,K0III       ,7.47,1.247
9.94,F6IV        ,8.6,0.476
7.47,F3/F5V      ,8.3,0.441
17.09,G5IV/V      ,8.93,0.706
16.4,F5V         ,7.81,0.483
2.98,K3/K4III    ,7.96,1.569
1.39,B6III       ,8.21,-0.008
6.94,F5/F6V      ,9.22,0.55
27.1,G6IV/V      ,8.2,0.721
2.96,A4:m...     ,9.05,0.397
20.11,G8/K0V      ,9.41,0.798
2.99,G8/K0III    ,8.47,1.077
1.92,M0/M1III:   ,8.63,1.701
12.52,F5/F6V      ,8.27,0.477
2.85,A0IV        ,9.07,0.145
0.18,M3          ,9.11,1.777
-2.25,Me          ,10.35,1.242
19.1,G8:III:+... ,8.8,0.758
3.2,G5          ,8.87,0.746
25.55,F3V         ,6.46,0.429
5.37,F2IV/V      ,8.98,0.439
1.82,G8III       ,8.7,1.03
4.44,K3III       ,7.31,1.401
3.98,G8III       ,8.31,1.04
16.91,G5/G6IV     ,7.51,0.77
8.63,F5/F6III/IV ,7.56,0.49
4.74,F3IV/V      ,9.59,0.472
3.82,B9.5:Vn     ,7.61,0.068
0.73,K0/K1II/III ,8.6,1.371
2.51,G8II        ,9.04,1.047
3.45,G8/K0III    ,7.64,1.046
5.16,F2V         ,8.81,0.411
7.4,F5IV        ,8.93,0.428
5.16,F5V         ,8.67,0.473
3.63,G8/K0III    ,8.47,1.028
10.44,A1IV/V      ,6.76,0.064
13.45,F5IV        ,7.8,0.441
-1.18,            ,11.07,1.5
4.64,A2IV        ,8.23,0.245
4.39,K0III       ,7.69,1.109
